Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
физ. лицо,списание средств,2576.61,наличный,Гомель,Белинвестбанк-AJQO-184,25-08-2015,08:01:10,успешно,нет,0.0
физ. лицо,получение средств,4877.49,безналичный,Гомель,Белинвестбанк-BTYK-367,10-09-2021,00:16:34,успешно,нет,0.0
физ. лицо,получение средств,1140.84,безналичный,Могилев,БелАгропромбанк-OWDQ-980,20-10-2005,07:53:48,успешно,нет,0.0
юр. лицо,списание средств,3168.91,безналичный,Гомель,БелАгропромбанк-TPAJ-681,07-04-2014,17:36:04,недостаточно средств,нет,0.0
юр. лицо,получение средств,1629.61,безналичный,Могилев,Белинвестбанк-YCAR-098,15-09-2000,00:11:59,успешно,нет,0.0
юр. лицо,получение средств,2609.67,безналичный,Гродно,Беларусбанк-ANSV-836,28-06-2010,18:17:13,успешно,нет,0.0
юр. лицо,получение средств,4134.96,наличный,Брест,БелАгропромбанк-OQJX-225,07-09-2000,17:46:44,успешно,нет,0.0
юр. лицо,списание средств,4958.11,наличный,Могилев,Приорбанк-MMND-703,14-10-2004,05:00:11,успешно,нет,0.0
юр. лицо,списание средств,2886.75,безналичный,Брест,Беларусбанк-TCTR-790,31-08-2010,21:27:39,недостаточно средств,нет,0.0
юр. лицо,списание средств,1685.94,безналичный,Могилев,Белинвестбанк-QPAN-370,18-08-2002,09:36:04,неправильный ввод пин-кода,да,103.74
физ. лицо,получение средств,2103.5,безналичный,Брест,МаксБанк-XUNH-596,05-12-2003,18:46:50,успешно,нет,0.0
физ. лицо,списание средств,4721.41,безналичный,Минск,Белинвестбанк-RIER-772,21-12-2001,16:35:36,успешно,да,453.6
юр. лицо,списание средств,108.54,безналичный,Брест,Белинвестбанк-QJMB-968,11-03-2000,17:20:02,недостаточно средств,нет,0.0
физ. лицо,списание средств,2811.66,безналичный,Могилев,Белинвестбанк-MTXR-126,26-12-2014,07:38:54,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,1928.26,наличный,Брест,Приорбанк-YFWG-956,06-05-2018,20:13:26,успешно,нет,0.0
физ. лицо,получение средств,932.38,безналичный,Могилев,МаксБанк-HIEL-647,03-03-2015,07:58:33,успешно,нет,0.0
юр. лицо,списание средств,2075.35,наличный,Гомель,Беларусбанк-FCAT-300,29-07-2002,02:40:40,неправильный ввод пин-кода,да,86.7
физ. лицо,списание средств,4621.52,наличный,Минск,БелАгропромбанк-BPWW-490,28-07-2016,11:54:43,недостаточно средств,нет,0.0
юр. лицо,получение средств,2102.78,безналичный,Витебск,Беларусбанк-WMZU-916,25-10-2009,06:21:50,успешно,нет,0.0
физ. лицо,получение средств,294.17,наличный,Могилев,БелАгропромбанк-VJTI-549,01-08-2021,16:14:30,успешно,нет,0.0
физ. лицо,получение средств,1234.35,безналичный,Витебск,БелАгропромбанк-QRYO-981,13-12-2000,03:03:03,успешно,нет,0.0
физ. лицо,получение средств,1649.37,безналичный,Брест,БелАгропромбанк-HLCA-576,09-04-2005,19:00:32,успешно,нет,0.0
юр. лицо,списание средств,2104.32,наличный,Могилев,БелАгропромбанк-TJYO-626,31-05-2002,11:43:37,успешно,нет,0.0
юр. лицо,списание средств,4459.23,безналичный,Гомель,МаксБанк-IGAB-211,09-09-2018,05:57:44,недостаточно средств,нет,0.0
юр. лицо,списание средств,2715.16,наличный,Гродно,МаксБанк-WNEJ-197,10-11-2006,00:49:51,успешно,нет,0.0
юр. лицо,получение средств,4901.92,безналичный,Брест,БелАгропромбанк-JLKP-937,16-12-2001,09:55:55,успешно,нет,0.0
юр. лицо,списание средств,3377.0,наличный,Могилев,МаксБанк-HMAK-038,02-11-2012,05:08:19,неправильный ввод пин-кода,да,144.9
юр. лицо,списание средств,2641.74,наличный,Могилев,Приорбанк-KNLM-013,25-01-2015,23:15:01,неправильный ввод пин-кода,да,189.98
юр. лицо,получение средств,2717.7,безналичный,Брест,Белинвестбанк-SMKE-786,23-08-2021,18:47:57,успешно,нет,0.0
физ. лицо,получение средств,2010.01,наличный,Витебск,Белинвестбанк-NSQP-132,03-09-2013,03:01:38,успешно,нет,0.0
юр. лицо,списание средств,3123.0,наличный,Гродно,БелАгропромбанк-GLST-930,10-09-2013,08:00:28,недостаточно средств,нет,0.0
физ. лицо,получение средств,4968.27,безналичный,Могилев,БелАгропромбанк-CIEA-363,11-09-2011,14:06:51,успешно,нет,0.0
физ. лицо,списание средств,1882.78,наличный,Гродно,БелАгропромбанк-OQHE-422,10-03-2009,00:55:53,успешно,нет,0.0
физ. лицо,получение средств,2008.65,наличный,Минск,Белинвестбанк-YJMP-914,30-05-2019,09:37:41,успешно,нет,0.0
юр. лицо,получение средств,110.89,безналичный,Витебск,МаксБанк-GJNN-766,24-07-2001,04:48:31,успешно,нет,0.0
физ. лицо,получение средств,1838.55,наличный,Гомель,МаксБанк-SBRN-465,30-04-2002,19:44:40,успешно,нет,0.0
юр. лицо,получение средств,170.6,безналичный,Брест,Беларусбанк-SPYA-138,15-10-2000,10:21:22,успешно,нет,0.0
физ. лицо,списание средств,2451.97,наличный,Гомель,Беларусбанк-SPXJ-838,27-03-2016,10:58:12,неправильный ввод пин-кода,да,111.06
юр. лицо,получение средств,617.75,безналичный,Витебск,БелАгропромбанк-MDGZ-131,03-01-2016,16:21:23,успешно,нет,0.0
физ. лицо,списание средств,4546.61,безналичный,Витебск,Беларусбанк-AFNR-741,02-04-2022,12:23:29,недостаточно средств,нет,0.0
физ. лицо,списание средств,2159.42,наличный,Брест,Беларусбанк-VPMN-603,17-04-2014,09:17:50,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,4506.1,безналичный,Могилев,Белинвестбанк-UYBQ-890,01-12-2017,10:59:42,успешно,нет,0.0
физ. лицо,получение средств,1437.43,наличный,Гомель,Беларусбанк-VVHX-766,07-07-2002,11:17:34,успешно,нет,0.0
юр. лицо,списание средств,1600.04,безналичный,Гродно,Приорбанк-UMUD-984,22-11-2003,15:29:33,недостаточно средств,нет,0.0
физ. лицо,получение средств,2492.24,безналичный,Гродно,Беларусбанк-DICD-497,22-04-2023,02:34:36,успешно,нет,0.0
юр. лицо,списание средств,1089.96,безналичный,Брест,Беларусбанк-XUIQ-431,14-04-2010,06:10:42,успешно,да,50.37
юр. лицо,получение средств,2481.81,безналичный,Могилев,Белинвестбанк-OQAL-246,24-07-2020,12:17:25,успешно,нет,0.0
юр. лицо,получение средств,749.07,наличный,Могилев,Беларусбанк-YOYU-319,21-02-2008,02:25:16,успешно,нет,0.0
юр. лицо,списание средств,2275.31,безналичный,Могилев,МаксБанк-VLSI-461,18-01-2016,20:21:05,успешно,да,155.58
юр. лицо,получение средств,2704.37,безналичный,Могилев,Белинвестбанк-WUHU-430,26-08-2011,11:31:48,успешно,нет,0.0
юр. лицо,списание средств,871.15,наличный,Брест,БелАгропромбанк-WHUR-798,28-05-2012,14:53:39,успешно,да,75.16
юр. лицо,списание средств,977.95,безналичный,Брест,МаксБанк-ATSS-208,28-06-2008,08:11:58,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,2355.2,наличный,Брест,Приорбанк-DIRI-033,22-03-2011,11:37:28,успешно,нет,0.0
юр. лицо,получение средств,4054.18,безналичный,Брест,Приорбанк-DJES-343,09-02-2008,12:57:45,успешно,нет,0.0
юр. лицо,получение средств,3810.61,наличный,Гомель,БелАгропромбанк-PJPG-473,02-08-2016,10:57:55,успешно,нет,0.0
юр. лицо,получение средств,4407.49,наличный,Гомель,Приорбанк-SUUX-757,19-09-2002,02:12:59,успешно,нет,0.0
юр. лицо,списание средств,2176.69,безналичный,Могилев,Приорбанк-XULJ-997,04-05-2001,02:00:58,недостаточно средств,нет,0.0
физ. лицо,списание средств,185.62,наличный,Гомель,Беларусбанк-WPEU-207,15-08-2013,07:34:47,недостаточно средств,да,5.52
физ. лицо,получение средств,2109.96,безналичный,Брест,МаксБанк-TBNV-298,03-02-2001,04:01:09,успешно,нет,0.0
физ. лицо,получение средств,1322.74,наличный,Брест,БелАгропромбанк-FCZS-347,05-12-2013,06:30:19,успешно,нет,0.0
физ. лицо,списание средств,319.81,безналичный,Гомель,Приорбанк-AZLT-580,26-12-2000,23:07:08,недостаточно средств,нет,0.0
физ. лицо,списание средств,4045.15,наличный,Гомель,Белинвестбанк-VMFK-912,11-08-2001,16:28:50,успешно,да,139.92
физ. лицо,получение средств,4790.36,наличный,Брест,МаксБанк-IDFL-090,16-05-2016,05:05:51,успешно,нет,0.0
физ. лицо,получение средств,2894.47,наличный,Витебск,Приорбанк-IFJB-593,05-05-2018,10:59:51,успешно,нет,0.0
физ. лицо,получение средств,1244.29,безналичный,Гродно,Белинвестбанк-AUHS-963,11-07-2024,01:39:16,успешно,нет,0.0
физ. лицо,списание средств,1317.04,наличный,Витебск,МаксБанк-EFTC-325,17-02-2011,18:10:31,неправильный ввод пин-кода,да,20.05
юр. лицо,получение средств,270.76,безналичный,Могилев,БелАгропромбанк-WMIK-931,03-07-2001,11:22:56,успешно,нет,0.0
физ. лицо,списание средств,149.84,наличный,Гродно,БелАгропромбанк-OBYS-605,02-01-2005,14:35:19,недостаточно средств,нет,0.0
физ. лицо,получение средств,4884.37,наличный,Гродно,Беларусбанк-RSYV-421,23-04-2007,13:05:49,успешно,нет,0.0
юр. лицо,списание средств,853.75,безналичный,Гомель,МаксБанк-YKZE-513,16-07-2004,13:28:41,недостаточно средств,нет,0.0
юр. лицо,получение средств,371.93,безналичный,Гродно,Приорбанк-KJEB-343,18-12-2018,12:59:41,успешно,нет,0.0
юр. лицо,списание средств,537.89,наличный,Гродно,БелАгропромбанк-RSGM-292,13-08-2020,13:47:47,недостаточно средств,нет,0.0
физ. лицо,списание средств,4600.78,наличный,Витебск,Приорбанк-EFTL-911,17-04-2006,18:35:10,успешно,да,226.94
юр. лицо,получение средств,1351.36,наличный,Брест,БелАгропромбанк-CYNM-988,11-10-2008,02:56:20,успешно,нет,0.0
физ. лицо,получение средств,4632.18,безналичный,Брест,МаксБанк-UIMT-788,13-02-2013,14:41:11,успешно,нет,0.0
физ. лицо,списание средств,4975.65,безналичный,Могилев,МаксБанк-QJGS-199,12-06-2023,16:10:10,недостаточно средств,да,184.64
физ. лицо,списание средств,1526.37,наличный,Могилев,Белинвестбанк-SGAP-699,04-12-2021,22:44:00,недостаточно средств,да,70.86
физ. лицо,получение средств,3176.62,наличный,Могилев,Приорбанк-KJQX-194,22-03-2007,03:45:57,успешно,нет,0.0
физ. лицо,получение средств,1556.83,безналичный,Брест,МаксБанк-REPL-758,28-06-2023,21:39:30,успешно,нет,0.0
физ. лицо,получение средств,3123.59,наличный,Брест,МаксБанк-VEQK-407,31-05-2022,07:20:04,успешно,нет,0.0
физ. лицо,получение средств,2991.36,наличный,Брест,МаксБанк-RONR-643,07-08-2019,22:15:39,успешно,нет,0.0
физ. лицо,получение средств,422.83,наличный,Витебск,БелАгропромбанк-LXVH-435,03-03-2010,03:14:27,успешно,нет,0.0
физ. лицо,получение средств,4804.45,безналичный,Витебск,Белинвестбанк-GIJW-260,06-04-2005,04:02:34,успешно,нет,0.0
юр. лицо,получение средств,3495.18,безналичный,Минск,МаксБанк-SDVE-212,09-07-2023,18:25:35,успешно,нет,0.0
физ. лицо,списание средств,3139.85,безналичный,Витебск,БелАгропромбанк-OGVI-395,07-08-2020,18:24:04,недостаточно средств,да,167.9
физ. лицо,получение средств,4378.13,наличный,Минск,Приорбанк-MGTB-559,04-11-2006,21:41:13,успешно,нет,0.0
юр. лицо,получение средств,1844.01,безналичный,Гродно,Белинвестбанк-BEWQ-776,24-09-2021,17:48:14,успешно,нет,0.0
юр. лицо,получение средств,4478.76,наличный,Брест,Белинвестбанк-ZFKN-450,15-10-2017,00:31:28,успешно,нет,0.0
юр. лицо,списание средств,1499.45,безналичный,Гродно,МаксБанк-KJRT-742,25-05-2013,08:06:36,успешно,нет,0.0
физ. лицо,списание средств,3164.42,наличный,Могилев,Беларусбанк-OWXZ-834,17-08-2006,16:10:17,недостаточно средств,нет,0.0
юр. лицо,списание средств,561.87,наличный,Витебск,БелАгропромбанк-XAFM-362,12-01-2009,00:14:26,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,134.69,безналичный,Витебск,БелАгропромбанк-WRFT-726,14-04-2011,08:40:07,успешно,нет,0.0
юр. лицо,списание средств,950.91,безналичный,Гродно,Белинвестбанк-ZDBE-786,18-04-2001,22:18:32,неправильный ввод пин-кода,да,88.05
физ. лицо,получение средств,4617.33,безналичный,Витебск,БелАгропромбанк-IIIA-866,14-08-2003,04:26:07,успешно,нет,0.0
физ. лицо,списание средств,3813.89,безналичный,Гродно,Белинвестбанк-EOTD-791,28-11-2008,04:47:35,успешно,нет,0.0
юр. лицо,списание средств,769.02,безналичный,Минск,БелАгропромбанк-TCGI-368,13-09-2015,16:36:28,недостаточно средств,нет,0.0
юр. лицо,списание средств,3733.17,наличный,Гомель,Приорбанк-OASN-173,12-10-2003,00:59:01,недостаточно средств,нет,0.0
физ. лицо,списание средств,179.77,безналичный,Брест,МаксБанк-JOFW-430,21-01-2003,17:58:35,успешно,нет,0.0
юр. лицо,получение средств,3029.42,безналичный,Минск,Белинвестбанк-HWRQ-848,17-04-2009,18:50:44,успешно,нет,0.0
физ. лицо,списание средств,1958.81,наличный,Брест,Белинвестбанк-HVSL-686,01-09-2010,04:03:40,успешно,да,190.45
юр. лицо,списание средств,2282.78,безналичный,Гомель,Белинвестбанк-PUEM-146,09-11-2019,22:45:51,успешно,да,97.37
юр. лицо,списание средств,3753.0,безналичный,Минск,Беларусбанк-VOHQ-328,22-04-2015,02:02:13,успешно,да,136.93
юр. лицо,списание средств,1886.16,наличный,Могилев,Беларусбанк-XFBF-152,12-10-2014,14:34:28,успешно,да,91.48
юр. лицо,списание средств,4074.99,наличный,Минск,Приорбанк-USVD-698,12-09-2015,16:04:02,успешно,нет,0.0
физ. лицо,получение средств,4120.22,наличный,Гомель,Приорбанк-FJGS-962,20-12-2020,15:21:14,успешно,нет,0.0
юр. лицо,списание средств,1394.23,наличный,Минск,Белинвестбанк-UTMD-822,16-07-2022,00:17:28,недостаточно средств,да,55.75
физ. лицо,списание средств,3132.76,безналичный,Гомель,Приорбанк-UBEM-519,12-12-2009,19:17:36,недостаточно средств,нет,0.0
физ. лицо,получение средств,891.95,наличный,Витебск,Белинвестбанк-MUKM-276,23-05-2011,01:22:39,успешно,нет,0.0
физ. лицо,списание средств,4009.63,безналичный,Витебск,Белинвестбанк-REIJ-112,19-02-2003,16:06:26,недостаточно средств,нет,0.0
физ. лицо,получение средств,1225.42,наличный,Витебск,Приорбанк-LLXT-768,19-10-2000,03:18:20,успешно,нет,0.0
физ. лицо,списание средств,3185.84,наличный,Могилев,БелАгропромбанк-MZEO-823,04-07-2017,00:23:39,недостаточно средств,да,293.17
физ. лицо,списание средств,3762.82,безналичный,Брест,БелАгропромбанк-BLRZ-996,27-10-2003,12:41:47,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2026.11,наличный,Гомель,Приорбанк-MIBG-399,04-03-2004,03:47:52,недостаточно средств,да,151.44
физ. лицо,списание средств,2048.8,наличный,Гродно,Белинвестбанк-TIMK-113,10-01-2000,21:02:00,неправильный ввод пин-кода,да,48.85
физ. лицо,списание средств,577.08,наличный,Могилев,Приорбанк-DCOG-751,14-02-2005,17:42:21,успешно,нет,0.0
юр. лицо,получение средств,1405.85,наличный,Минск,МаксБанк-KUBG-019,18-11-2000,14:39:54,успешно,нет,0.0
физ. лицо,получение средств,3115.47,безналичный,Брест,Беларусбанк-DAFI-464,03-04-2002,04:46:23,успешно,нет,0.0
юр. лицо,списание средств,2417.31,безналичный,Могилев,МаксБанк-AGWK-185,14-12-2024,21:17:43,успешно,нет,0.0
физ. лицо,получение средств,4955.18,наличный,Минск,Белинвестбанк-QQDT-995,13-11-2020,06:31:59,успешно,нет,0.0
физ. лицо,получение средств,2099.53,наличный,Могилев,Приорбанк-WHWP-903,14-10-2013,01:41:28,успешно,нет,0.0
физ. лицо,списание средств,4854.91,безналичный,Гомель,Беларусбанк-VDYX-378,04-12-2011,09:55:25,недостаточно средств,нет,0.0
юр. лицо,списание средств,4959.44,безналичный,Витебск,Белинвестбанк-JDYA-812,12-02-2017,21:02:43,недостаточно средств,нет,0.0
физ. лицо,списание средств,1436.59,безналичный,Гомель,МаксБанк-UYFT-695,15-08-2019,17:15:20,неправильный ввод пин-кода,да,54.61
юр. лицо,списание средств,476.6,наличный,Гомель,Беларусбанк-ZJJE-716,25-03-2019,09:13:51,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1476.13,наличный,Брест,Приорбанк-LPEJ-565,25-01-2019,06:33:25,неправильный ввод пин-кода,да,68.71
физ. лицо,списание средств,3528.07,безналичный,Витебск,Белинвестбанк-KXPJ-564,22-05-2012,03:27:29,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2339.81,наличный,Гомель,Приорбанк-OFVO-511,01-02-2004,18:41:52,успешно,да,188.67
юр. лицо,списание средств,1855.25,наличный,Брест,БелАгропромбанк-MYDM-679,27-03-2008,03:16:50,неправильный ввод пин-кода,да,169.68
физ. лицо,получение средств,4446.73,безналичный,Витебск,Беларусбанк-YMPU-529,14-04-2017,02:35:32,успешно,нет,0.0
физ. лицо,списание средств,3787.55,безналичный,Минск,МаксБанк-GWLK-385,10-02-2023,00:17:09,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3717.19,безналичный,Витебск,БелАгропромбанк-WEUP-198,02-07-2010,21:45:33,недостаточно средств,нет,0.0
юр. лицо,списание средств,503.63,безналичный,Витебск,Беларусбанк-LUCY-414,07-09-2020,20:52:23,недостаточно средств,нет,0.0
юр. лицо,списание средств,948.82,наличный,Брест,БелАгропромбанк-WUIR-744,24-08-2021,14:39:20,недостаточно средств,нет,0.0
юр. лицо,получение средств,2245.53,безналичный,Могилев,МаксБанк-GRTH-688,28-02-2014,14:07:30,успешно,нет,0.0
физ. лицо,получение средств,1471.55,безналичный,Могилев,БелАгропромбанк-HESK-305,10-06-2003,13:33:18,успешно,нет,0.0
физ. лицо,списание средств,402.14,безналичный,Минск,Приорбанк-DCTG-462,18-12-2023,03:53:34,недостаточно средств,нет,0.0
физ. лицо,списание средств,2071.22,безналичный,Гродно,Белинвестбанк-ZPBJ-121,17-05-2022,11:41:28,успешно,нет,0.0
юр. лицо,списание средств,351.53,безналичный,Витебск,Белинвестбанк-IWJI-272,11-03-2006,06:46:26,неправильный ввод пин-кода,да,34.46
физ. лицо,получение средств,1183.49,безналичный,Минск,МаксБанк-XBCZ-266,10-01-2007,22:00:43,успешно,нет,0.0
физ. лицо,списание средств,1867.84,наличный,Брест,Приорбанк-WFTE-051,30-09-2018,19:56:54,недостаточно средств,да,158.78
юр. лицо,списание средств,3197.11,безналичный,Минск,Приорбанк-KLBP-432,12-03-2023,10:53:54,недостаточно средств,да,305.72
юр. лицо,списание средств,795.72,наличный,Брест,МаксБанк-JGYK-585,02-08-2004,10:35:12,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1485.26,наличный,Гомель,Белинвестбанк-BPCJ-498,29-03-2008,17:54:42,успешно,да,116.91
физ. лицо,получение средств,2219.09,наличный,Могилев,БелАгропромбанк-XETY-929,10-04-2000,09:50:06,успешно,нет,0.0
юр. лицо,получение средств,554.06,безналичный,Могилев,БелАгропромбанк-FWFP-487,27-06-2017,19:32:40,успешно,нет,0.0
физ. лицо,получение средств,4912.33,наличный,Минск,Беларусбанк-VVYH-738,09-04-2006,03:08:50,успешно,нет,0.0
физ. лицо,получение средств,2359.95,безналичный,Витебск,Приорбанк-QXAW-064,03-11-2005,04:09:12,успешно,нет,0.0
юр. лицо,получение средств,4284.26,наличный,Витебск,БелАгропромбанк-XDDU-897,25-12-2018,07:38:44,успешно,нет,0.0
юр. лицо,получение средств,2026.31,безналичный,Брест,Белинвестбанк-CZPQ-341,25-08-2019,10:11:28,успешно,нет,0.0
юр. лицо,получение средств,3635.74,наличный,Витебск,БелАгропромбанк-LDHC-724,11-12-2019,14:58:42,успешно,нет,0.0
физ. лицо,списание средств,77.57,наличный,Брест,МаксБанк-RXJO-879,07-06-2013,01:05:19,недостаточно средств,нет,0.0
физ. лицо,списание средств,780.29,наличный,Могилев,Приорбанк-DAHG-792,13-08-2020,07:08:46,успешно,да,28.05
физ. лицо,получение средств,4777.84,безналичный,Гродно,МаксБанк-QHUZ-426,18-12-2013,13:55:15,успешно,нет,0.0
юр. лицо,получение средств,1310.18,наличный,Гродно,БелАгропромбанк-WTIM-111,20-02-2015,08:31:49,успешно,нет,0.0
юр. лицо,списание средств,1776.93,безналичный,Минск,БелАгропромбанк-HSDW-435,15-07-2002,23:41:55,неправильный ввод пин-кода,да,76.76
физ. лицо,списание средств,3423.79,безналичный,Витебск,Приорбанк-UCXG-319,27-06-2015,14:12:03,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3177.47,безналичный,Витебск,Беларусбанк-JYTW-801,21-06-2009,09:31:08,неправильный ввод пин-кода,да,95.5
юр. лицо,получение средств,1364.57,безналичный,Витебск,Приорбанк-BVBI-939,19-08-2017,12:30:24,успешно,нет,0.0
физ. лицо,получение средств,2464.79,безналичный,Гомель,Приорбанк-GQSW-258,05-10-2010,03:31:08,успешно,нет,0.0
юр. лицо,списание средств,590.61,безналичный,Гомель,БелАгропромбанк-XAKB-715,12-10-2006,05:28:30,неправильный ввод пин-кода,да,17.79
физ. лицо,списание средств,2222.97,безналичный,Гродно,Белинвестбанк-FZBY-066,21-04-2017,19:11:50,недостаточно средств,нет,0.0
физ. лицо,списание средств,4558.7,наличный,Гомель,Приорбанк-SDPA-129,09-04-2016,07:28:06,недостаточно средств,нет,0.0
юр. лицо,списание средств,2958.52,наличный,Могилев,МаксБанк-TZUT-341,06-03-2001,15:13:41,успешно,нет,0.0
юр. лицо,получение средств,3610.68,наличный,Гродно,Белинвестбанк-MSPF-456,21-12-2013,00:33:18,успешно,нет,0.0
физ. лицо,списание средств,895.34,безналичный,Минск,Беларусбанк-OFAH-842,06-06-2005,18:54:08,недостаточно средств,да,21.49
юр. лицо,получение средств,2610.19,безналичный,Могилев,МаксБанк-AMTZ-820,02-02-2006,10:24:17,успешно,нет,0.0
физ. лицо,получение средств,2203.86,безналичный,Витебск,Белинвестбанк-MAVL-492,27-01-2015,16:55:58,успешно,нет,0.0
физ. лицо,получение средств,293.39,безналичный,Витебск,Белинвестбанк-RJEL-739,29-03-2009,22:39:09,успешно,нет,0.0
юр. лицо,списание средств,2425.45,безналичный,Гомель,БелАгропромбанк-WRAV-448,29-04-2010,04:58:56,недостаточно средств,да,102.88
физ. лицо,получение средств,3818.61,наличный,Могилев,Белинвестбанк-NYKD-456,31-08-2000,12:49:52,успешно,нет,0.0
юр. лицо,получение средств,534.14,наличный,Витебск,Белинвестбанк-TSKT-190,18-01-2015,02:18:34,успешно,нет,0.0
юр. лицо,получение средств,1333.72,наличный,Минск,МаксБанк-DWWC-033,13-05-2022,16:43:53,успешно,нет,0.0
юр. лицо,списание средств,4224.3,наличный,Гродно,МаксБанк-HLGR-646,02-10-2007,09:59:30,неправильный ввод пин-кода,да,84.21
юр. лицо,списание средств,3498.81,безналичный,Минск,Белинвестбанк-NHXQ-319,11-10-2015,07:24:36,недостаточно средств,да,216.63
физ. лицо,получение средств,3663.04,безналичный,Брест,Приорбанк-LQLF-166,12-08-2003,06:07:26,успешно,нет,0.0
физ. лицо,списание средств,2434.46,наличный,Брест,МаксБанк-RKAK-528,18-11-2019,04:43:41,успешно,да,99.55
